Date,Total,Influneza A,Influneza B,Male,Female,Temperature,Minimum Temperature,Maximum Temperature,Relative humidity,Wind speed,Rainfall,Sunshine duration,Vapour pressure
2015/1/1,313,310,3,147,166,3.8,0.6,9.0,47,4.6,0.0,0.2,3.8
2015/1/2,311,307,4,156,155,3.2,-0.8,7.7,46,2.2,,6,3.5
2015/1/3,298,294,4,134,164,4.5,0.3,8.5,45,2.3,,9.6,3.7
2015/1/4,302,299,3,144,158,5.0,1.0,9.5,56,1.7,,6.7,4.9
2015/1/5,713,710,3,352,361,7.8,2.7,13.3,57,2.6,,9.3,5.9
2015/1/6,548,542,6,274,274,11.7,6.5,16.6,68,6.5,16.5,1.5,9.6
2015/1/7,525,522,3,269,256,5.9,3.6,9.6,41,5.0,,4.1,3.8
2015/1/8,472,465,7,251,221,6.5,2.7,11.7,35,3.7,,9.6,3.3
2015/1/9,478,473,5,244,234,6.7,3.3,11.6,35,3.2,,9.3,3.4
2015/1/10,375,369,6,177,198,6.5,2.3,11.7,38,2.5,,9.7,3.5
2015/1/11,248,247,1,126,122,6.8,1.3,11.8,49,3.7,,9,4.8
2015/1/12,155,153,2,75,80,6.1,3.1,10.4,37,4.9,,9.6,3.4
2015/1/13,642,634,8,346,296,6.6,2.9,11.1,41,3.1,,9.8,4.0
2015/1/14,410,407,3,189,221,7.0,2.7,10.0,56,1.9,,6.3,5.7
2015/1/15,342,338,4,151,191,5.9,4.0,8.6,76,4.7,32.0,0,6.9
2015/1/16,446,442,4,228,218,8.4,4.4,11.7,63,2.3,0.0,6.7,6.8
2015/1/17,377,369,8,186,191,6.6,2.7,11.4,55,4.9,,6.1,5.4
2015/1/18,166,160,6,83,83,5.1,0.8,10.1,38,3.0,,9.8,3.4
2015/1/19,589,577,12,322,267,5.9,1.0,10.5,50,2.9,,8.8,4.8
2015/1/20,363,360,3,202,161,6.7,3.2,12.0,46,3.7,,9.1,4.4
2015/1/21,316,312,4,155,161,3.0,1.7,5.2,73,4.9,3.5,0,5.5
2015/1/22,312,308,4,168,144,4.9,3.8,5.5,92,4.2,13.5,0,8.0
2015/1/23,378,375,3,184,194,7.5,4.6,13.6,64,4.8,6.5,7,6.5
2015/1/24,324,319,5,172,152,5.8,3.5,8.4,46,3.1,,0.8,4.3
2015/1/25,198,196,2,96,102,7.2,2.2,11.6,62,2.4,0.0,7.6,6.4
2015/1/26,529,518,11,272,257,10.0,6.5,13.8,72,3.1,0.0,5.5,8.8
2015/1/27,337,332,5,180,157,10.0,6.7,15.3,75,4.1,15.5,7.8,9.1
2015/1/28,270,265,5,107,163,5.4,2.0,8.2,41,5.8,0.0,3,3.7
2015/1/29,225,222,3,114,111,4.4,1.4,8.0,44,3.4,,6.4,3.7
2015/1/30,203,199,4,99,104,2.5,0.8,6.0,91,4.8,19.0,0,6.6
2015/1/31,181,176,5,94,87,5.8,2.6,11.1,55,5.4,,9.6,4.8
2015/2/1,86,85,1,39,47,4.9,1.7,9.0,30,5.8,,10.2,2.6
2015/2/2,344,334,10,185,159,5.3,2.3,9.8,35,5.4,,10,3.0
2015/2/3,178,168,10,97,81,5.4,2.8,9.0,44,3.8,,9.5,3.9
2015/2/4,178,168,10,91,87,5.8,3.6,8.7,53,2.8,,7.2,4.9
2015/2/5,114,111,3,59,55,2.9,1.4,5.8,89,4.0,6.0,0,6.7
2015/2/6,181,172,9,90,91,5.7,1.0,11.4,64,2.9,0.0,9.9,5.6
2015/2/7,134,126,8,74,60,5.8,3.1,9.0,62,2.4,0.5,1.3,5.8
2015/2/8,73,71,2,34,39,4.9,2.4,7.0,88,2.6,8.0,0.7,7.6
2015/2/9,216,202,14,101,115,2.6,1.2,4.7,56,4.0,0.0,3.1,4.2
2015/2/10,176,161,15,74,102,4.3,-0.7,8.8,50,3.0,,9.7,4.2
2015/2/11,46,45,1,25,21,6.4,1.4,11.6,53,2.8,,10.2,5.1
2015/2/12,136,124,12,70,66,8.3,3.6,13.9,51,3.1,,9.3,5.5
2015/2/13,94,88,6,30,64,5.3,1.9,10.3,52,3.8,0.0,4.3,4.6
2015/2/14,83,78,5,44,39,5.2,0.5,10.4,33,2.9,,10.5,2.9
2015/2/15,66,56,10,28,38,6.2,1.8,11.7,42,4.5,,10.2,4.0
2015/2/16,135,117,18,71,64,6.9,2.4,11.4,40,2.8,,10.5,4.0
2015/2/17,70,64,6,37,33,4.7,3.1,6.4,78,3.9,1.0,0,6.6
2015/2/18,60,51,9,35,25,3.6,2.9,4.4,92,4.8,5.0,0,7.3
2015/2/19,53,46,7,29,24,6.7,2.2,13.5,71,3.0,0.0,9,6.6
2015/2/20,64,52,12,31,33,6.7,3.5,10.4,69,3.1,0.0,7.2,6.7
